,Action_1,Action_2,Action_3,Action_4
2297,-0.08282835273,0.9776104999,0.2194275273,0.4132696558
2298,-0.2053021444,0.9863095315,0.3968393488,0.1500315361
2299,-0.1841711935,0.9823688715,0.7538843779,-0.2558261909
2300,0.07634274976,0.01683613108,0.9818163974,-0.5076718764
2301,-0.1012649365,-0.7912170812,0.9952086869,-0.8204967276
2302,-0.291833026,-0.5151853576,0.979210228,-0.4014894299
2303,-0.02343898621,-0.2487309653,0.9235373198,-0.06146625782
2304,0.3733707707,-0.6508755063,0.7088932063,0.06882164179
2305,-0.6596459642,0.80444969,0.2234722085,-0.02364422325
2306,0.5182100178,0.5803717491,-0.8258493896,0.04486830258
2307,0.1033581055,0.9175503178,-0.5136017491,0.1326141815
2308,0.2953595757,0.9196497802,-0.831608848,0.6159524447
2309,0.3130476252,0.9095670682,-0.4110538162,0.4181944834
2310,0.3165547412,0.8372678421,0.24408849,0.3466774787
2311,0.8056252154,-0.6372994905,0.862959355,-0.1121776058
2312,0.2999804728,-0.898961045,0.9979863334,-0.454086424
2313,0.7973745156,-0.9325242276,0.8040189253,-0.3841162363
2314,-0.5616736573,0.8732624063,0.7345753312,0.3282742017
2315,0.8021081157,0.4729448358,-0.8207955116,0.07533998684
2316,0.5411676076,0.7351713435,-0.5789771592,0.3577058872
2317,0.2500069022,0.801200581,-0.7564457669,0.6177769096
2318,0.7648764752,-0.6196376191,0.7032342995,0.07316315755
2319,0.01158525588,-0.7845258088,0.9961039409,-0.2007007586
2320,-0.5156235449,0.3834222386,0.8472359509,-0.03472829415
2321,0.4138396651,0.3802471126,0.8787157893,-0.5110325177
2322,0.9455952837,-0.977253434,0.9366807754,-0.4834178632
2323,0.1084070333,-0.1151075426,0.7453376478,0.01045395886
2324,-0.3380794392,0.6226440925,0.7963945273,-0.4870720641
2325,0.7724713935,-0.4403931693,0.4983673272,-0.5187265165
2326,0.4558960152,-0.9251144594,0.9733639405,-0.4144531956
2327,-0.3479605437,0.5090363982,0.7311799243,-0.004563435706
2328,0.7047266338,-0.1097155969,-0.312923302,-0.01785633267
2329,0.4964444442,-0.3669350284,0.4748121877,-0.0857344858
2330,-0.1397112249,0.5826184113,-0.2113043388,0.4286738188
2331,0.7502841499,0.8326655604,-0.9074236481,0.2135363101
2332,0.3486273846,0.6968270651,0.4413310957,0.391481151
2333,0.5922280408,0.2244822912,-0.1817979202,0.1489111351
2334,0.4425766923,0.2481547138,-0.0597883694,0.2255979188
2335,0.6815513615,-0.8077364843,0.6220984749,0.1280618663
2336,0.01744606221,-0.9031962175,0.9718056416,-0.0073523171
2337,0.3696837645,0.5943110593,-0.3604123887,0.4278950086
2338,0.6242955719,0.3300431121,-0.2353363351,0.1809988091
2339,0.7258408919,-0.3463153711,-0.3168654251,0.2569902534
2340,0.124010161,-0.2017785908,0.5801998832,0.01417110651
2341,0.4205662939,-0.8004438422,0.8057065142,-0.3968249743
2342,0.008966964076,-0.6063897976,0.725425638,0.1162110352
